Epoch,Train Acc,Val Acc,Train Loss, Val Loss
145, 0.915, 0.940, 0.218, 0.180
146, 0.915, 0.941, 0.222, 0.175
147, 0.911, 0.935, 0.220, 0.198
148, 0.917, 0.943, 0.216, 0.169
149, 0.917, 0.936, 0.218, 0.175
150, 0.925, 0.931, 0.202, 0.207
151, 0.923, 0.942, 0.207, 0.176
152, 0.910, 0.939, 0.223, 0.184
153, 0.920, 0.946, 0.210, 0.170
154, 0.919, 0.935, 0.215, 0.185
155, 0.922, 0.934, 0.205, 0.205
156, 0.915, 0.936, 0.220, 0.186
157, 0.911, 0.944, 0.223, 0.188
158, 0.915, 0.927, 0.220, 0.226
159, 0.917, 0.942, 0.219, 0.176
160, 0.917, 0.934, 0.208, 0.201
161, 0.921, 0.941, 0.205, 0.180
162, 0.916, 0.948, 0.216, 0.171
163, 0.924, 0.944, 0.206, 0.172
164, 0.923, 0.936, 0.204, 0.179
165, 0.912, 0.928, 0.219, 0.217
166, 0.924, 0.946, 0.197, 0.173
167, 0.921, 0.940, 0.214, 0.180
168, 0.917, 0.930, 0.209, 0.202
169, 0.923, 0.946, 0.202, 0.161
170, 0.924, 0.942, 0.199, 0.171
171, 0.925, 0.937, 0.202, 0.175
172, 0.926, 0.941, 0.189, 0.185
173, 0.927, 0.937, 0.197, 0.190
174, 0.921, 0.936, 0.205, 0.184
175, 0.918, 0.940, 0.204, 0.171
176, 0.924, 0.939, 0.203, 0.200
177, 0.925, 0.942, 0.200, 0.187
178, 0.919, 0.941, 0.208, 0.178
179, 0.921, 0.941, 0.201, 0.180
180, 0.923, 0.946, 0.200, 0.169
181, 0.927, 0.943, 0.197, 0.185
182, 0.925, 0.943, 0.193, 0.172
183, 0.925, 0.939, 0.206, 0.191
184, 0.917, 0.934, 0.215, 0.191
185, 0.925, 0.946, 0.198, 0.167
186, 0.927, 0.949, 0.201, 0.161
187, 0.932, 0.940, 0.183, 0.169
188, 0.918, 0.943, 0.211, 0.162
189, 0.921, 0.939, 0.204, 0.176
190, 0.925, 0.943, 0.205, 0.165
191, 0.928, 0.945, 0.191, 0.173
192, 0.931, 0.939, 0.188, 0.177
193, 0.921, 0.947, 0.209, 0.163
194, 0.926, 0.941, 0.194, 0.183
195, 0.924, 0.943, 0.205, 0.171
196, 0.925, 0.939, 0.201, 0.172
197, 0.927, 0.944, 0.206, 0.169
198, 0.921, 0.936, 0.201, 0.190
199, 0.921, 0.939, 0.199, 0.175
200, 0.928, 0.947, 0.197, 0.160
